id,tier,handed,core,enchant,is_artefact_component,is_final_item,requires_artefact,offhand_family
T4_2H_TOOL_TRACKING,4,2H,TOOL_TRACKING,0,False,True,False,
T5_2H_TOOL_TRACKING,5,2H,TOOL_TRACKING,0,False,True,False,
T6_2H_TOOL_TRACKING,6,2H,TOOL_TRACKING,0,False,True,False,
T7_2H_TOOL_TRACKING,7,2H,TOOL_TRACKING,0,False,True,False,
T8_2H_TOOL_TRACKING,8,2H,TOOL_TRACKING,0,False,True,False,
T4_ARTEFACT_2H_ARCANESTAFF_HELL,4,2H,ARCANESTAFF_HELL,0,True,False,False,
T4_ARTEFACT_2H_BOW_HELL,4,2H,BOW_HELL,0,True,False,False,
T4_ARTEFACT_2H_BOW_KEEPER,4,2H,BOW_KEEPER,0,True,False,False,
T4_ARTEFACT_2H_CLEAVER_HELL,4,2H,CLEAVER_HELL,0,True,False,False,
T4_ARTEFACT_2H_COMBATSTAFF_MORGANA,4,2H,COMBATSTAFF_MORGANA,0,True,False,False,
T4_ARTEFACT_2H_CROSSBOWLARGE_MORGANA,4,2H,CROSSBOWLARGE_MORGANA,0,True,False,False,
T4_ARTEFACT_2H_CURSEDSTAFF_MORGANA,4,2H,CURSEDSTAFF_MORGANA,0,True,False,False,
T5_ARTEFACT_2H_CURSEDSTAFF_MORGANA,5,2H,CURSEDSTAFF_MORGANA,0,True,False,False,
T6_ARTEFACT_2H_CURSEDSTAFF_MORGANA,6,2H,CURSEDSTAFF_MORGANA,0,True,False,False,
T7_ARTEFACT_2H_CURSEDSTAFF_MORGANA,7,2H,CURSEDSTAFF_MORGANA,0,True,False,False,
T8_ARTEFACT_2H_CURSEDSTAFF_MORGANA,8,2H,CURSEDSTAFF_MORGANA,0,True,False,False,
T4_ARTEFACT_2H_DUALAXE_KEEPER,4,2H,DUALAXE_KEEPER,0,True,False,False,
T4_ARTEFACT_2H_DUALCROSSBOW_HELL,4,2H,DUALCROSSBOW_HELL,0,True,False,False,
T4_ARTEFACT_2H_DUALHAMMER_HELL,4,2H,DUALHAMMER_HELL,0,True,False,False,
T4_ARTEFACT_2H_DUALSCIMITAR_UNDEAD,4,2H,DUALSCIMITAR_UNDEAD,0,True,False,False,
T4_ARTEFACT_2H_DUALSICKLE_UNDEAD,4,2H,DUALSICKLE_UNDEAD,0,True,False,False,
